Ingredient 1,Ingredient 2,Ingredient 3,Effect 1,Effect 2,Effect 3,Effect 4,Effect 5
Abecean Longfin,Elves Ear,Fire Salts,Weakness to Frost
Bone Meal,Elves Ear,Fire Salts,Resist Fire
Briar Heart,Elves Ear,Fire Salts,Restore Magicka
Canis Root,Elves Ear,Fire Salts,Fortify Marksman
Creep Cluster,Elves Ear,Fire Salts,Restore Magicka
Dragon's Tongue,Elves Ear,Fire Salts,Resist Fire
Dwarven Oil,Elves Ear,Fire Salts,Resist Fire,Restore Magicka,Weakness to Frost
Ectoplasm,Elves Ear,Fire Salts,Restore Magicka
Elves Ear,Fire Salts,Fly Amanita,Resist Fire
Elves Ear,Fire Salts,Frost Salts,Restore Magicka
Elves Ear,Fire Salts,Garlic,Regenerate Magicka
Elves Ear,Fire Salts,Giant Lichen,Restore Magicka
Elves Ear,Fire Salts,Grass Pod,Restore Magicka
Elves Ear,Fire Salts,Human Flesh,Restore Magicka
Elves Ear,Fire Salts,Ice Wraith Teeth,Weakness to Frost
Elves Ear,Fire Salts,Jazbay Grapes,Regenerate Magicka
Elves Ear,Fire Salts,Juniper Berries,Fortify Marksman
Elves Ear,Fire Salts,Moon Sugar,Resist Fire,Restore Magicka,Weakness to Frost
Elves Ear,Fire Salts,Mora Tapinella,Restore Magicka
Elves Ear,Fire Salts,Mudcrab Chitin,Resist Fire
Elves Ear,Fire Salts,Pearl,Restore Magicka
Elves Ear,Fire Salts,Red Mountain Flower,Restore Magicka
Elves Ear,Fire Salts,Salt Pile,Regenerate Magicka
Elves Ear,Fire Salts,Snowberries,Resist Fire
Elves Ear,Fire Salts,Spider Egg,Fortify Marksman
Elves Ear,Fire Salts,Taproot,Resist Fire,Restore Magicka,Weakness to Frost
Elves Ear,Fire Salts,Vampire Dust,Restore Magicka
Elves Ear,Fire Salts,White Cap,Resist Fire,Restore Magicka,Weakness to Frost
Abecean Longfin,Elves Ear,White Cap,Weakness to Frost
Bone Meal,Elves Ear,White Cap,Resist Fire
Briar Heart,Elves Ear,White Cap,Restore Magicka
Canis Root,Elves Ear,White Cap,Fortify Marksman
Creep Cluster,Elves Ear,White Cap,Restore Magicka
Dragon's Tongue,Elves Ear,White Cap,Resist Fire
Dwarven Oil,Elves Ear,White Cap,Restore Magicka
Ectoplasm,Elves Ear,White Cap,Restore Magicka
Elves Ear,Fly Amanita,White Cap,Resist Fire
Elves Ear,Frost Mirriam,White Cap,Ravage Magicka
Elves Ear,Frost Salts,White Cap,Restore Magicka
Elves Ear,Giant Lichen,White Cap,Restore Magicka
Elves Ear,Grass Pod,White Cap,Restore Magicka,Weakness to Frost
Elves Ear,Human Flesh,White Cap,Restore Magicka
Elves Ear,Ice Wraith Teeth,White Cap,Restore Magicka,Weakness to Frost
Elves Ear,Juniper Berries,White Cap,Fortify Marksman
Elves Ear,Lavender,White Cap,Ravage Magicka
Elves Ear,Moon Sugar,White Cap,Restore Magicka
Elves Ear,Mora Tapinella,White Cap,Restore Magicka
Elves Ear,Mudcrab Chitin,White Cap,Resist Fire
Elves Ear,Orange Dartwing,White Cap,Ravage Magicka
Elves Ear,Pearl,White Cap,Restore Magicka
Elves Ear,Red Mountain Flower,White Cap,Restore Magicka,Weakness to Frost
Elves Ear,Sabre Cat Tooth,White Cap,Fortify Heavy Armor
Elves Ear,Slaughterfish Scales,White Cap,Fortify Heavy Armor
Elves Ear,Snowberries,White Cap,Resist Fire
Elves Ear,Spider Egg,White Cap,Fortify Marksman
Elves Ear,Taproot,White Cap,Restore Magicka
Elves Ear,Thistle Branch,White Cap,Fortify Heavy Armor
Elves Ear,Vampire Dust,White Cap,Restore Magicka
Abecean Longfin,Fire Salts,White Cap,Weakness to Frost
Bone Meal,Fire Salts,White Cap,Resist Fire
Briar Heart,Fire Salts,White Cap,Restore Magicka
Creep Cluster,Fire Salts,White Cap,Restore Magicka
Dragon's Tongue,Fire Salts,White Cap,Resist Fire
Dwarven Oil,Fire Salts,White Cap,Restore Magicka,Weakness to Frost
Ectoplasm,Fire Salts,White Cap,Restore Magicka
Fire Salts,Fly Amanita,White Cap,Resist Fire
Fire Salts,Frost Mirriam,White Cap,Ravage Magicka
Fire Salts,Frost Salts,White Cap,Restore Magicka
Fire Salts,Garlic,White Cap,Regenerate Magicka
Fire Salts,Giant Lichen,White Cap,Restore Magicka
Fire Salts,Grass Pod,White Cap,Restore Magicka,Weakness to Frost
Fire Salts,Human Flesh,White Cap,Restore Magicka
Fire Salts,Ice Wraith Teeth,White Cap,Restore Magicka,Weakness to Frost
Fire Salts,Jazbay Grapes,White Cap,Regenerate Magicka
Fire Salts,Lavender,White Cap,Ravage Magicka
Fire Salts,Moon Sugar,White Cap,Restore Magicka,Weakness to Frost
Fire Salts,Mora Tapinella,White Cap,Restore Magicka
Fire Salts,Mudcrab Chitin,White Cap,Resist Fire
Fire Salts,Orange Dartwing,White Cap,Ravage Magicka
Fire Salts,Pearl,White Cap,Restore Magicka
Fire Salts,Red Mountain Flower,White Cap,Restore Magicka,Weakness to Frost
Fire Salts,Sabre Cat Tooth,White Cap,Fortify Heavy Armor
Fire Salts,Salt Pile,White Cap,Regenerate Magicka
Fire Salts,Slaughterfish Scales,White Cap,Fortify Heavy Armor
Fire Salts,Snowberries,White Cap,Resist Fire
Fire Salts,Taproot,White Cap,Restore Magicka,Weakness to Frost
Fire Salts,Thistle Branch,White Cap,Fortify Heavy Armor
Fire Salts,Vampire Dust,White Cap,Restore Magicka
Abecean Longfin,Ice Wraith Teeth,White Cap,Weakness to Frost
Bleeding Crown,Ice Wraith Teeth,White Cap,Weakness to Fire
Briar Heart,Ice Wraith Teeth,White Cap,Restore Magicka
Chaurus Eggs,Ice Wraith Teeth,White Cap,Invisibility
Creep Cluster,Ice Wraith Teeth,White Cap,Restore Magicka
Crimson Nirnroot,Ice Wraith Teeth,White Cap,Invisibility
Dwarven Oil,Ice Wraith Teeth,White Cap,Restore Magicka
Ectoplasm,Ice Wraith Teeth,White Cap,Restore Magicka
Frost Mirriam,Ice Wraith Teeth,White Cap,Ravage Magicka
Frost Salts,Ice Wraith Teeth,White Cap,Restore Magicka,Weakness to Fire
Giant Lichen,Ice Wraith Teeth,White Cap,Restore Magicka
Grass Pod,Ice Wraith Teeth,White Cap,Fortify Heavy Armor,Weakness to Frost
Human Flesh,Ice Wraith Teeth,White Cap,Restore Magicka
Ice Wraith Teeth,Juniper Berries,White Cap,Weakness to Fire
Ice Wraith Teeth,Lavender,White Cap,Ravage Magicka
Ice Wraith Teeth,Luna Moth Wing,White Cap,Invisibility
Ice Wraith Teeth,Moon Sugar,White Cap,Restore Magicka,Weakness to Fire
Ice Wraith Teeth,Mora Tapinella,White Cap,Restore Magicka
Ice Wraith Teeth,Nirnroot,White Cap,Invisibility
Ice Wraith Teeth,Orange Dartwing,White Cap,Ravage Magicka
Ice Wraith Teeth,Pearl,White Cap,Restore Magicka
Ice Wraith Teeth,Powdered Mammoth Tusk,White Cap,Weakness to Fire
Ice Wraith Teeth,Red Mountain Flower,White Cap,Fortify Heavy Armor,Weakness to Frost
Ice Wraith Teeth,Sabre Cat Tooth,White Cap,Fortify Heavy Armor
Ice Wraith Teeth,Slaughterfish Scales,White Cap,Fortify Heavy Armor
Ice Wraith Teeth,Taproot,White Cap,Restore Magicka
Ice Wraith Teeth,Thistle Branch,White Cap,Fortify Heavy Armor
Ice Wraith Teeth,Vampire Dust,White Cap,Invisibility,Restore Magicka
Abecean Longfin,Beehive Husk,Hawk Feathers,Fortify Sneak
Beehive Husk,Charred Skeever Hide,Hawk Feathers,Cure Disease,Resist Poison
Beehive Husk,Ectoplasm,Hawk Feathers,Fortify Destruction
Beehive Husk,Falmer Ear,Hawk Feathers,Resist Poison
Beehive Husk,Frost Mirriam,Hawk Feathers,Fortify Sneak
Beehive Husk,Garlic,Hawk Feathers,Resist Poison
Beehive Husk,Glow Dust,Hawk Feathers,Fortify Destruction
Beehive Husk,Glowing Mushroom,Hawk Feathers,Fortify Destruction
Beehive Husk,Grass Pod,Hawk Feathers,Resist Poison
Beehive Husk,Hanging Moss,Hawk Feathers,Fortify One-handed
Beehive Husk,Hawk Feathers,Honeycomb,Fortify Light Armor
Beehive Husk,Hawk Feathers,Human Flesh,Fortify Sneak
Beehive Husk,Hawk Feathers,Luna Moth Wing,Fortify Light Armor
Beehive Husk,Hawk Feathers,Mudcrab Chitin,Cure Disease,Resist Poison
Beehive Husk,Hawk Feathers,Nightshade,Fortify Destruction
Beehive Husk,Hawk Feathers,Powdered Mammoth Tusk,Fortify Sneak
Beehive Husk,Hawk Feathers,Purple Mountain Flower,Fortify Sneak
Beehive Husk,Hawk Feathers,Rock Warbler Egg,Fortify One-handed
Beehive Husk,Hawk Feathers,Skeever Tail,Fortify Light Armor
Beehive Husk,Hawk Feathers,Slaughterfish Egg,Resist Poison
Beehive Husk,Hawk Feathers,Small Pearl,Fortify One-handed
Beehive Husk,Hawk Feathers,Thistle Branch,Resist Poison
Beehive Husk,Hawk Feathers,Troll Fat,Resist Poison
Beehive Husk,Hawk Feathers,Vampire Dust,Cure Disease
